"team","season","returning_ppa_pct","returning_passing_ppa_pct","returning_usage_pct","talent_percentile","preseason_poll_vote_share","retained_quality","replacement_capacity","portal_incoming_count","portal_outgoing_count","portal_rated_incoming_count","portal_incoming_value","portal_incoming_percentile","portal_offense_ppa","portal_offense_score","portal_offense_eligible_count","portal_offense_matched_count","portal_offense_match_rate","portal_replacement_capacity","portal_offense_replacement","roster_rebuild_score","roster_rebuild_flag","hype_gap","source","captured_at"
"Mississippi",2021,0.77,0.951,0.866,0.8,0.0459592843923504,0.42109375,0.184,3,9,2,0.0768181818181818,0.588461538461538,0.0419335664335664,-0.0675374539302957,1,1,1,0.0788538461538462,-0.00905001882665963,0,FALSE,0.260817307692308,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Mississippi State",2021,0.668,1.264,0.622,0.784615384615385,0,0.19309375,0.260492307692308,8,22,4,0.152272727272727,0.830769230769231,51.0179755244755,1.72451238764149,5,4,0.8,0.314030769230769,0.651865682528485,0.651865682528485,TRUE,0.1109375,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Missouri",2021,0.742,1,0.673,0.661538461538462,0,0.191296875,0.170676923076923,5,21,5,0.190454545454545,0.892307692307692,0,-0.491494242760212,1,0,0,0.291784615384615,-0.160718617382589,0,FALSE,0.1421875,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Navy",2021,0.326,-0.022,0.33,0.0307692307692308,0,0.043296875,0.0207384615384615,0,7,0,0,0,0,-0.491494242760212,0,0,1,0,-0.329301142649342,0,FALSE,0.2671875,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Nebraska",2021,0.611,0.842,0.499,0.815384615384615,0,0.2243515625,0.317184615384615,5,18,4,0.153636363636364,0.838461538461538,-3.58307692307692,-1.64485362695147,3,1,0.333333333333333,0.420069230769231,-0.824071667102688,0,FALSE,0.0328125,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Nevada",2021,0.982,1,0.995,0.253846153846154,0,0.759515625,0.00456923076923077,6,12,0,0,0,0,-0.491494242760212,2,0,0,0,-0.00245747121380106,0,FALSE,-0.3734375,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"New Mexico",2021,0.745,-0.06,0.666,0.146153846153846,0,0.267734375,0.0372692307692308,4,14,0,0,0,23.9358461538462,1.0039875483648,2,1,0.5,0,0.335331841153842,0.335331841153842,FALSE,0.040625,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"New Mexico State",2021,1.7,1,0.923,0.0230769230769231,0,0.01328125,-0.0161538461538462,1,10,1,0.0363636363636364,0.269230769230769,0,-0.491494242760212,0,0,1,0.0207307692307692,-0.0378450566925363,0,FALSE,0.3921875,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"North Carolina",2021,0.505,0.985,0.541,0.876923076923077,0.630817540134571,0.4458203125,0.434076923076923,1,21,1,0.0413636363636364,0.430769230769231,10.2222517482517,0.674489750196082,1,1,1,0.197723076923077,0.309590795340002,0.309590795340002,FALSE,0.0556490384615385,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"North Carolina State",2021,0.656,0.374,0.689,0.746153846153846,0,0.287,0.256676923076923,4,11,4,0.151818181818182,0.823076923076923,0,-0.491494242760212,0,0,1,0.255976923076923,-0.152854709498426,0,FALSE,-0.0375,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
