team,season,returning_ppa_pct,returning_passing_ppa_pct,returning_usage_pct,talent_percentile,preseason_poll_vote_share,retained_quality,replacement_capacity,portal_incoming_count,portal_outgoing_count,portal_rated_incoming_count,portal_incoming_value,portal_incoming_percentile,portal_offense_ppa,portal_offense_score,portal_offense_eligible_count,portal_offense_matched_count,portal_offense_match_rate,portal_replacement_capacity,portal_offense_replacement,roster_rebuild_score,roster_rebuild_flag,hype_gap,source,captured_at
Vanderbilt,2026,0.354,0.087,0.326,0.702898550724638,0,0.338496350364964,0.454072463768116,18,20,16,0.629545454545455,0.485507246376812,55.9529934782609,0.0272493313544022,5,4,0.8,0.327231884057971,0.0183660493328671,0.0183660493328671,FALSE,-0.546784089706971,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Virginia,2026,0.095,0.011,0.136,0.623188405797101,0,0.0776642335766423,0.563985507246377,31,22,29,0.865454545454545,0.876811594202899,227.9129,1.48448175683792,11,11,1,0.757565217391304,1.28259223790796,1.28259223790796,TRUE,-0.40809795832011,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Virginia Tech,2026,0.367,0,0.277,0.811594202898551,0,0.120547445255474,0.513739130434783,28,27,26,0.871818181818182,0.931159420289855,107.814941304348,0.629555406663227,9,5,0.555555555555556,0.673228260869565,0.455168559017513,0.455168559017513,FALSE,0.0809531365704009,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Wake Forest,2026,0.142,0.229,0.121,0.550724637681159,0,0.110905109489051,0.472521739130435,24,23,24,0.855,0.804347826086957,36.8180847826087,-0.266498814282483,10,7,0.7,0.707021739130435,-0.234252457754303,0,FALSE,-0.371601607955147,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Washington,2026,0.544,0.942,0.571,0.833333333333333,0.26642022953315603,0.50429197080292,0.38,14,23,12,0.470454545454545,0.282608695652174,62.4515826086957,0.0818291081954182,5,3,0.6,0.121239130434783,0.0351046874158344,0.0351046874158344,FALSE,-0.0501957050671744,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Washington State,2026,0.913,1,0.975,0.420289855072464,0,0.28656204379562,0.0365652173913043,28,41,24,0.853181818181818,0.782608695652174,138.204356521739,0.924795169499317,7,5,0.714285714285714,0.0195652173913044,0.0231198792374829,0.0231198792374829,FALSE,0.0955516767163863,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
West Virginia,2026,0.14,0.624,0.262,0.652173913043478,0,0.0132846715328467,0.560869565217391,34,50,33,0.858181818181818,0.833333333333333,120.361158695652,0.818549519355992,9,5,0.555555555555556,0.615,0.604089545284722,0.604089545284722,TRUE,0.314529778906167,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Western Kentucky,2026,0.837,0.951,0.784,0.376811594202899,0,0.403226277372263,0.0614202898550725,19,23,16,0.610909090909091,0.449275362318841,-1.67593260869565,-2.2948952092431,6,4,0.666666666666667,0.0970434782608696,-0.495697365196509,0,FALSE,-0.0723315349624458,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Western Michigan,2026,0.997,1,1,0.22463768115942,0,0.62585401459854,6.73913043478262e-4,14,13,9,0.339090909090909,0.108695652173913,0.405117391304348,-1.38299412710064,4,1,0.25,0,0,0,FALSE,-0.2183169364223,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Wisconsin,2026,0.31,-5,0.468,0.789855072463768,0,0.0158394160583942,0.545,33,25,33,0.864090909090909,0.869565217391304,192.809954347826,1.07447756293295,12,10,0.833333333333333,0.462608695652174,0.571622063480329,0.571622063480329,TRUE,0.358325399344124,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Wyoming,2026,0.23,0.032,0.281,0.0869565217391304,0,0.0923357664233577,0.0669565217391304,19,16,12,0.456363636363636,0.246376811594203,83.9435,0.323420493043882,5,3,0.6,0.177144927536232,0.232539334498551,0.232539334498551,FALSE,0.0079604358404739,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
